state,bill_number,title,description,matched_keyword
CA,SB802,"Housing finance and development: Sacramento Area Housing and Homelessness Agency: Multifamily Housing Program: Homekey: Homeless Housing, Assistance, and Prevention program.","An act to add Article 1.5 (commencing with Section 6539.9.5) to Chapter 5 of Division 7 of Title 1 of the Government Code, and to amend Section 50675.1.3 of, to add Section 50675.17 to, and to add Article 4 (commencing with Section 50246) to Chapter 6.5 of Part 1 of Division 31 of, the Health and Safety Code, relating to housing.",housing
CA,SB880,Housing purchases: moratorium.,An act relating to housing.,housing
CA,SB958,Affordable housing.,An act relating to housing.,housing
CA,SB996,Manufactured housing: classification as real property.,"An act to amend Section 18551 of, and to add Sections 18551.05, 18551.06, and 18551.07 to, the Health and Safety Code, and to amend Section 5801 of the Revenue and Taxation Code, relating to manufactured housing.",housing
CA,SB1016,Transitional housing bond.,An act relating to housing.,housing
CA,SB1072,Housing.,"An act to repeal Section 65584.6 of the Government Code and to amend Section 50676 of the Health and Safety Code, relating to housing.",housing
CA,SB1090,Housing: disaster impacted areas.,An act relating to housing.,housing
CA,SB1170,Joint powers agreements: nonprofit housing developers.,"An act to amend Section 990.8 of, and to add Section 6525.5 to, the Government Code, relating to nonprofit housing developers.",housing
CA,SB1216,Planning and Zoning Law: housing leadership designation.,"An act to add Section 65589.10 to the Government Code, relating to housing.",housing
CA,SB1258,Streamlined housing approvals: hazardous waste sites.,"An act to amend Section 65913.4 of the Government Code, relating to housing.",housing
CA,SB1383,Housing development projects: postentitlement phase permit.,"An act to amend, repeal, and add Section 65913.3 of the Government Code, relating to housing.",housing
CA,SR46,Relative to Affordable Housing Month.,Relative to Affordable Housing Month.,housing
CA,SCR131,Housing: functional zero unsheltered homelessness.,Relative to housing.,housing
