bill_id,number,change_hash,url,status_date,status,last_action_date,last_action,title,description
1953594,A04475,34df3b9a810365c751933a2e595f342a,https://legiscan.com/NY/bill/A04475/2025,2025-02-04,1,2026-01-07,referred to energy,Establishes the power authority of the state of New York shall make low cost hydropower available to hospitals and municipal housing authorities located within Niagara County.,Establishes the power authority of the state of New York shall make low cost hydropower available to hospitals and municipal housing authorities located within Niagara County.
1954983,A04537,b28724a04808fdeff0c5764c18f2b2a1,https://legiscan.com/NY/bill/A04537/2025,2025-02-04,1,2026-01-07,"referred to corporations, authorities and commissions",Relates to establishing ground rent rebates for eligible homeowners and renters in the Battery Park project area; provides for a rebate program; provides for a process for application and certification.,Relates to establishing ground rent rebates for eligible homeowners and renters in the Battery Park project area; provides for a rebate program; provides for a process for application and certification.
1954375,A04554,7a3a63139ef0955320e16bda7359a3d9,https://legiscan.com/NY/bill/A04554/2025,2025-02-04,1,2026-01-07,referred to real property taxation,"Authorizes the city of Niagara Falls to add unpaid housing code violation penalties, costs and fines to such city's annual tax levy.","Authorizes the city of Niagara Falls to add unpaid housing code violation penalties, costs and fines to such city's annual tax levy."
1954869,A04556,57c9f096f67ed0506c2077d37d56353f,https://legiscan.com/NY/bill/A04556/2025,2025-02-04,1,2026-01-07,"referred to corporations, authorities and commissions","Relates to providing residents of municipal public housing in the state with free basic cable and high-speed internet service, and reimbursing internet service providers and cable television companies for providing such service.","Relates to providing residents of municipal public housing in the state with free basic cable and high-speed internet service, and reimbursing internet service providers and cable television companies for providing such service."
1954673,A04568,53c0a277da04ee59ba74ac764d5ffc65,https://legiscan.com/NY/bill/A04568/2025,2025-02-04,1,2026-01-07,referred to housing,Establishes the New York state short-term rental property commission which shall assess and address the current housing stock in the state of New York and the state of short-term rental property regulation.,Establishes the New York state short-term rental property commission which shall assess and address the current housing stock in the state of New York and the state of short-term rental property regulation.
1954780,A04586,7c1d1acc7bc64fcecc850a1f6ac35cfc,https://legiscan.com/NY/bill/A04586/2025,2025-02-04,1,2026-01-07,referred to housing,Requires the New York city housing authority to repair certain conditions within thirty days of receipt of a written notice requesting such repairs; requires NYCHA to convert from gas to electric appliances when repairing or replacing any such appliances.,Requires the New York city housing authority to repair certain conditions within thirty days of receipt of a written notice requesting such repairs; requires NYCHA to convert from gas to electric appliances when repairing or replacing any such appliances.
1963059,A04877,5c0b66fed226d09568a103cd495adf58,https://legiscan.com/NY/bill/A04877/2025,2025-02-07,1,2026-01-07,referred to housing,"Relates to enacting the rent emergency stabilization for tenants act on local determinations of a housing emergency; authorizes a city with a population of one million or more to declare an emergency as to any class of housing accommodations if the vacancy rate for the housing accommodations in such class within such municipality is not in excess of five percent and a declaration of emergency may be made as to all housing accommodations if the vacancy rate for the housing accommodations within such municipality is not in excess of five percent; authorizes other cities, towns and villages to declare a housing emergency after considering publicly available data and holding public hearings.","Relates to enacting the rent emergency stabilization for tenants act on local determinations of a housing emergency; authorizes a city with a population of one million or more to declare an emergency as to any class of housing accommodations if the vacancy rate for the housing accommodations in such class within such municipality is not in excess of five percent and a declaration of emergency may be made as to all housing accommodations if the vacancy rate for the housing accommodations within such municipality is not in excess of five percent; authorizes other cities, towns and villages to declare a housing emergency after considering publicly available data and holding public hearings."
1963895,A04893,0c814fa9155ca9666d90b941e9cecfee,https://legiscan.com/NY/bill/A04893/2025,2025-02-10,1,2026-01-07,referred to housing,"Establishes the manufactured home community preservation act to provide financial and technical assistance, within funds available to counties, municipalities, rural preservation companies, and other non-profit housing organizations for their housing preservation efforts; provides that funds in the mortgage insurance fund can be used to provide financial support to local governments and eligible non-profit housing organizations.","Establishes the manufactured home community preservation act to provide financial and technical assistance, within funds available to counties, municipalities, rural preservation companies, and other non-profit housing organizations for their housing preservation efforts; provides that funds in the mortgage insurance fund can be used to provide financial support to local governments and eligible non-profit housing organizations."
1963719,A04954,6c66c2ba0ca1384239c4eda3819cb08d,https://legiscan.com/NY/bill/A04954/2025,2025-02-10,1,2025-12-08,enacting clause stricken,Relates to the conversion to condominium ownership for the preservation of expiring affordable housing in the city of New York; provides expanded homeownership opportunities from the conversion of certain residential rental buildings to condominium status by property owners that commit to preserve the inventory of expiring affordable housing in the city of New York.,Relates to the conversion to condominium ownership for the preservation of expiring affordable housing in the city of New York; provides expanded homeownership opportunities from the conversion of certain residential rental buildings to condominium status by property owners that commit to preserve the inventory of expiring affordable housing in the city of New York.
1964017,A04957,af0765ff00a7ad0de10d7c3d728481f7,https://legiscan.com/NY/bill/A04957/2025,2025-02-10,1,2026-01-07,referred to housing,Authorizes the New York city council to oversee the activities of the New York city housing authority.,Authorizes the New York city council to oversee the activities of the New York city housing authority.
1963996,A04965,ef6339da786e3f4ab8c62711fd60814c,https://legiscan.com/NY/bill/A04965/2025,2025-02-10,1,2026-01-07,referred to housing,Establishes a five-year moratorium on foreign entities purchasing homes in New York state unless the purchase is for a primary residence; directs the department of state to conduct a study on the effects of the moratorium on the housing market and to send a report on the study to the legislature; specifies data and indicators to analyze for the study; defines terms.,Establishes a five-year moratorium on foreign entities purchasing homes in New York state unless the purchase is for a primary residence; directs the department of state to conduct a study on the effects of the moratorium on the housing market and to send a report on the study to the legislature; specifies data and indicators to analyze for the study; defines terms.
1963835,A05021,09fb3de7cb5c1a6782090321d11a15d6,https://legiscan.com/NY/bill/A05021/2025,2025-02-10,1,2026-01-07,referred to aging,Enacts the New York state senior housing opportunities partnership act; establishes the New York state senior housing opportunities partnership authority; provides that such authority will finance or collaborate in the financing of senior housing opportunities facility projects.,Enacts the New York state senior housing opportunities partnership act; establishes the New York state senior housing opportunities partnership authority; provides that such authority will finance or collaborate in the financing of senior housing opportunities facility projects.
1965357,A05033,3897d8f8b29424c2a81b01631292c34d,https://legiscan.com/NY/bill/A05033/2025,2025-02-11,1,2026-01-07,referred to real property taxation,"Authorizes the City of Newburgh to add unpaid housing code violation penalties, costs and fines to such city's annual tax levy in accordance with applicable law.","Authorizes the City of Newburgh to add unpaid housing code violation penalties, costs and fines to such city's annual tax levy in accordance with applicable law."
1966338,A05108,b2883f311111480fba824d15c2645ca8,https://legiscan.com/NY/bill/A05108/2025,2025-02-12,1,2026-01-07,referred to governmental operations,Establishes the housing for an equitable reentry and opportunity (HERO) act to prohibit housing discrimination on the basis of criminal legal system involvement; defines criminal legal system involvement.,Establishes the housing for an equitable reentry and opportunity (HERO) act to prohibit housing discrimination on the basis of criminal legal system involvement; defines criminal legal system involvement.
1967296,A05121,d7ef81e2e9e7ddf6306ca19b4f2b20c8,https://legiscan.com/NY/bill/A05121/2025,2025-02-12,1,2026-01-07,referred to housing,Requires public residential buildings that receive funding through the department of housing and urban development or the division of housing and community renewal to have a supply of at least one dose of naloxone readily accessible for residential use as provided by OASAS.,Requires public residential buildings that receive funding through the department of housing and urban development or the division of housing and community renewal to have a supply of at least one dose of naloxone readily accessible for residential use as provided by OASAS.
1967345,A05177,aa2be75343cff51da59d941a13f62b3b,https://legiscan.com/NY/bill/A05177/2025,2025-02-12,1,2026-01-07,referred to ways and means,Establishes a fund for the creation of affordable housing for veterans and seniors.,Establishes a fund for the creation of affordable housing for veterans and seniors.
1967319,A05291,9253c32bbaf276fc5fd98c037cb7833b,https://legiscan.com/NY/bill/A05291/2025,2025-02-12,1,2026-01-07,referred to governmental operations,Requires local boards and the division of housing and community renewal to submit certain residential housing and zoning information to the department of state annually; requires such information to be published by the department of state on its website.,Requires local boards and the division of housing and community renewal to submit certain residential housing and zoning information to the department of state annually; requires such information to be published by the department of state on its website.
1969724,A05325,58364cf4a512b373cdb3e1a155e4d254,https://legiscan.com/NY/bill/A05325/2025,2025-02-13,1,2026-01-07,referred to environmental conservation,Excludes from reporting requirements relating to environmental quality reviews actions to approve the siting or construction of housing in cities with a population of one million or more.,Excludes from reporting requirements relating to environmental quality reviews actions to approve the siting or construction of housing in cities with a population of one million or more.
1969968,A05381,d3a0d40132297f74ec7fea67061965d1,https://legiscan.com/NY/bill/A05381/2025,2025-02-13,1,2026-01-07,referred to housing,"Requires annual audits of limited-profit housing companies to be made by the department of housing and community renewal, in conjunction with the New York city department of housing preservation and development.","Requires annual audits of limited-profit housing companies to be made by the department of housing and community renewal, in conjunction with the New York city department of housing preservation and development."
1969422,A05401,c62bcf4d1f689c6676a429737f57fe32,https://legiscan.com/NY/bill/A05401/2025,2025-02-13,1,2026-02-26,reported referred to ways and means,Requires annual inspections of Mitchell-Lama buildings; requires the appointment of housing management representatives to perform such inspections; requires notification of violations to housing companies; requires such housing companies to certify correction of violations.,Requires annual inspections of Mitchell-Lama buildings; requires the appointment of housing management representatives to perform such inspections; requires notification of violations to housing companies; requires such housing companies to certify correction of violations.
1970923,A05420,eed2609f55fc0bf6102608938c656759,https://legiscan.com/NY/bill/A05420/2025,2025-02-14,1,2026-01-07,referred to ways and means,"Requires menstrual products to be provided in drop-in centers, intake shelters and emergency congregate housing.","Requires menstrual products to be provided in drop-in centers, intake shelters and emergency congregate housing."
1970962,A05425,6d7e67148fd3e5cfb296f9ec758fb41d,https://legiscan.com/NY/bill/A05425/2025,2025-02-14,1,2026-01-07,referred to governmental operations,"Enacts the ""New York State buy North American act"" which requires the state, municipalities, public authorities and covered affordable housing projects to award contracts for the supply of manufactured products used in building projects to bidders who produce such manufactured products used in building projects primarily in North America; defines terms; makes related provisions.","Enacts the ""New York State buy North American act"" which requires the state, municipalities, public authorities and covered affordable housing projects to award contracts for the supply of manufactured products used in building projects to bidders who produce such manufactured products used in building projects primarily in North America; defines terms; makes related provisions."
1970718,A05463,264afaab3c75647807cca49bcab26325,https://legiscan.com/NY/bill/A05463/2025,2025-02-14,1,2026-01-07,referred to real property taxation,"Authorizes municipalities in the county of Orange to add unpaid housing code violation penalties, costs and fines to such municipalities' annual tax levy in accordance with applicable law.","Authorizes municipalities in the county of Orange to add unpaid housing code violation penalties, costs and fines to such municipalities' annual tax levy in accordance with applicable law."
1970945,A05483,a60de6027298169eba2ad7405575bbcb,https://legiscan.com/NY/bill/A05483/2025,2025-02-14,1,2026-01-07,referred to education,Prohibits the permanent or temporary housing of migrant populations in schoolhouses or on school grounds in districts outside of a city with a population of one million or more.,Prohibits the permanent or temporary housing of migrant populations in schoolhouses or on school grounds in districts outside of a city with a population of one million or more.
1970908,A05497,1c94318d4685c39296ee31afc48e5153,https://legiscan.com/NY/bill/A05497/2025,2025-02-14,1,2026-01-07,referred to ways and means,Clarifies the exemption for cooperative housing corporations where there is no change in beneficial ownership.,Clarifies the exemption for cooperative housing corporations where there is no change in beneficial ownership.
1970623,A05504,d93eb8db91f09c611c3d2e8242de961c,https://legiscan.com/NY/bill/A05504/2025,2025-02-14,1,2026-01-07,referred to housing,"Requires, in cities having a population of one million or more, supportive housing be disbursed throughout the boroughs of such city in proportion to the borough population.","Requires, in cities having a population of one million or more, supportive housing be disbursed throughout the boroughs of such city in proportion to the borough population."
1970630,A05533,16583dca611eadfd3fd3f423fbbfec50,https://legiscan.com/NY/bill/A05533/2025,2025-02-14,1,2026-01-07,referred to housing,Provides for tenant responses to applications for a major capital improvement rent increase; allows tenants to respond within one hundred twenty days from the date of mailing of a notice of a proceeding; requires the state division of housing and community renewal to provide any responding tenant with the reasons for the division's approval or denial of such application.,Provides for tenant responses to applications for a major capital improvement rent increase; allows tenants to respond within one hundred twenty days from the date of mailing of a notice of a proceeding; requires the state division of housing and community renewal to provide any responding tenant with the reasons for the division's approval or denial of such application.
1970655,A05557,baaa99a3fa0ba37d1927dfd76f5a87a7,https://legiscan.com/NY/bill/A05557/2025,2025-02-14,1,2025-09-08,enacting clause stricken,"Provides that a policy of this state should be to increase housing options and opportunities, including but not limited to affordable, and workforce and senior housing.","Provides that a policy of this state should be to increase housing options and opportunities, including but not limited to affordable, and workforce and senior housing."
1970711,A05569,7c8e29c3f750bbb1345e44013f587202,https://legiscan.com/NY/bill/A05569/2025,2025-02-14,1,2026-02-25,reported referred to ways and means,Establishes a task force to study aging in place in mental health housing; provides for the repeal of such task force upon expiration thereof.,Establishes a task force to study aging in place in mental health housing; provides for the repeal of such task force upon expiration thereof.
1973313,A05575,2412485f759eff898a652d8536b3cbd1,https://legiscan.com/NY/bill/A05575/2025,2025-02-18,1,2026-01-07,referred to housing,Imposes certain governance and reporting requirements on the New York city housing authority; requires the establishment of a training program for board members of NYCHA; makes related provisions.,Imposes certain governance and reporting requirements on the New York city housing authority; requires the establishment of a training program for board members of NYCHA; makes related provisions.
